name,full_name,team,position,price,total_points,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,xGI,xGC,form,points_per_game,selected_by_percent,status,chance_of_playing,news
Min-hyeok,Yang Min-hyeok,Spurs,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Coventry City on loan for the rest of the season.
Olusesi,Callum Olusesi,Spurs,MID,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,a,,
Solanke,Dominic Solanke-Mitchell,Spurs,FWD,7.2,2,31,0,0,0,0,0,0,0,0,0,0,0,10,6.0,0.3,25.0,3.1,0.2,0.0,0.2,0.22,0.0,1.0,0.9,a,100.0,
Richarlison,Richarlison de Andrade,Spurs,FWD,6.4,75,1276,7,3,5,19,0,0,0,4,0,0,9,336,381.8,159.3,464.0,100.4,4.8,1.22,6.02,17.99,2.8,3.6,7.2,i,0.0,Hamstring injury - Expected back 01 Mar
Lankshear,Will Lankshear,Spurs,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,Has joined Oxford United on loan for the rest of the season.
Scarlett,Dane Scarlett,Spurs,FWD,4.3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,2.0,0.2,0.0,0.0,0.0,0.0,0.2,1.0,0.6,a,,
J.Palhinha,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,MID,5.5,78,1299,3,3,4,20,0,0,0,5,0,0,11,323,385.8,85.3,138.0,61.1,1.0,0.47,1.47,19.28,3.2,3.9,1.0,a,,
Xavi,Xavi Simons,Spurs,MID,6.5,44,920,1,3,3,17,0,0,0,2,1,0,3,169,173.2,181.3,102.0,45.7,0.9,1.61,2.51,13.66,0.6,2.9,1.1,a,100.0,
Kolo Muani,Randal Kolo Muani,Spurs,FWD,6.9,22,832,0,0,3,14,0,0,0,2,0,0,0,54,67.6,137.7,141.0,34.0,1.29,0.69,1.98,11.44,1.6,1.6,0.4,a,100.0,
Byfield,Jun'ai Byfield,Spurs,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,
Rowswell,James Rowswell,Spurs,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,
Akhamrich,Yusuf Akhamrich,Spurs,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,
Williams-Barnett,Lucá Williams-Barnett,Spurs,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,
Gallagher,Conor Gallagher,Spurs,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,a,,
Igor,Igor Julio dos Santos de Paulo,West Ham,DEF,4.5,6,103,0,0,0,3,0,0,0,0,0,0,0,10,25.8,10.6,0.0,3.6,0.0,0.0,0.0,4.66,0.0,1.5,0.1,a,100.0,
Areola,Alphonse Areola,West Ham,GK,4.3,44,1530,0,1,0,32,0,0,0,0,0,68,2,193,513.4,10.0,0.0,52.2,0.0,0.0,0.0,30.49,2.2,2.6,2.2,a,,
Foderingham,Wes Foderingham,West Ham,GK,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,u,0.0,has joined Aris Limassol permanently.
Hegyi,Krisztián Hegyi,West Ham,GK,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,u,0.0,has joined MTK Budapest on loan for the rest of the season.
Diouf,El Hadji Malick Diouf,West Ham,DEF,4.0,44,1387,0,4,2,30,0,0,0,3,0,0,1,112,267.4,158.3,64.0,49.0,0.39,0.82,1.21,24.01,0.0,2.8,1.3,n,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Expected back 24 Jan
Emerson,Emerson Palmieri dos Santos,West Ham,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,has joined Marseille permanently.
Kilman,Maximilian Kilman,West Ham,DEF,4.2,34,1533,0,0,1,35,0,0,0,4,0,0,0,77,380.8,55.6,60.0,49.7,0.56,0.25,0.81,31.46,1.2,1.9,0.2,a,,
Mavropanos,Konstantinos Mavropanos,West Ham,DEF,4.4,34,1091,0,0,1,22,1,0,0,2,0,0,0,103,277.4,10.8,105.0,39.3,0.74,0.32,1.06,18.57,1.0,2.4,0.1,d,75.0,Neck - 75% chance of playing
N.Aguerd,Nayef Aguerd,West Ham,DEF,4.4,3,180,0,0,0,8,0,0,0,0,0,0,0,-1,39.0,3.9,8.0,5.1,0.1,0.03,0.13,3.42,0.0,1.5,0.0,u,0.0,has joined Marseille permanently.
Scarles,Ollie Scarles,West Ham,DEF,4.3,12,464,0,0,0,12,0,0,0,0,0,0,0,43,92.8,44.6,18.0,15.6,0.18,0.28,0.46,10.13,2.2,1.7,0.0,a,100.0,
Todibo,Jean-Clair Todibo,West Ham,DEF,4.3,25,1251,0,1,0,28,0,0,0,4,0,0,0,94,277.4,62.8,15.0,35.6,0.05,0.29,0.34,23.93,1.0,1.7,0.1,a,100.0,
Wan-Bissaka,Aaron Wan-Bissaka,West Ham,DEF,4.1,25,1011,0,1,0,25,0,0,0,2,0,0,0,61,195.8,171.4,18.0,38.7,0.0,0.5,0.5,19.32,0.0,2.1,3.9,a,100.0,
Casey,Kaelan Casey,West Ham,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,Has joined Swansea City on loan for the rest of the season.
L.Paquetá,Lucas Tolentino Coelho de Lima,West Ham,MID,5.9,69,1513,4,2,3,33,0,0,0,5,1,0,8,291,374.6,397.2,186.0,95.7,2.85,2.0,4.85,24.22,4.0,3.8,2.0,d,75.0,Back injury - 75% chance of playing
Souček,Tomáš Souček,West Ham,MID,5.7,42,716,2,2,1,22,0,0,0,0,1,0,4,158,193.2,54.5,206.0,45.4,2.5,0.12,2.62,16.59,2.0,2.3,0.2,a,100.0,
Ward-Prowse,James Ward-Prowse,West Ham,MID,5.6,11,414,0,0,1,11,0,0,0,0,0,0,0,82,56.6,176.3,6.0,23.9,0.13,0.91,1.04,7.27,0.0,2.2,0.2,a,,
Summerville,Crysencio Summerville,West Ham,MID,5.5,38,1137,0,3,1,24,0,0,0,3,0,0,0,139,117.6,173.8,211.0,50.3,1.85,0.68,2.53,18.33,2.0,2.4,0.1,a,100.0,
Álvarez,Edson Álvarez Velázquez,West Ham,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,Has joined Fenerbahçe on loan for the rest of the season.
Cornet,Maxwel Cornet,West Ham,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Genoa on loan for the rest of the season.
G.Rodriguez,Guido Rodríguez,West Ham,MID,4.8,7,164,0,0,1,2,0,0,0,1,0,0,0,26,5.6,6.0,2.0,1.3,0.03,0.04,0.07,2.38,0.2,1.4,0.0,a,,
L.Guilherme,Luis Guilherme Lira dos Santos,West Ham,MID,4.9,5,121,0,0,0,2,0,0,0,0,0,0,0,11,9.2,14.5,4.0,2.5,0.07,0.03,0.1,1.82,0.0,1.0,0.0,u,0.0,has joined Sporting CP permanently.
Earthy,George Earthy,West Ham,MID,4.5,1,8,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.5,2.0,0.4,0.0,0.01,0.01,0.73,0.2,1.0,0.0,u,0.0,has joined Bristol City on loan for the rest of the season.
Irving,Andy Irving,West Ham,MID,4.3,9,156,0,0,0,4,0,0,0,0,0,0,0,49,31.6,52.3,2.0,8.6,0.0,0.17,0.17,4.03,0.0,1.3,0.3,a,,
Orford,Lewis Orford,West Ham,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,has joined Stevenage on loan for the rest of the season.
